0,5; 0,16.5,855
1,6; 0,32,203
2,4; 0,15.5,245
3,5; 0,12,383
4,3; 0,8.66667,681
5,6; 1,9.5,806
6,4; 1,8,679.333
7,4; 1,5,600.5
8,4; 3,13.5,106.5
9,4; 4,13,253.5
10,4; 2,7.33333,571.333
11,3; 2,6.33333,520.333
12,5; 2,16,418
13,3; 3,8,316
14,5; 2,6,388
15,4; 4,12,238
16,4; 4,11,462.333
17,4; 4,7,366.667
18,5; 5,7.66667,483.333
19,3; 5,5.5,482.25
20,4; 5,7.66667,390
21,3; 6,9.5,496.5
22,5; 6,5.66667,660.333
23,5; 5,10,756.5
24,4; 5,5.33333,572.667
25,4; 7,5,942.333
26,4; 8,8.33333,450.667
27,5; 7,9,726
28,4; 8,7.33333,600.667
29,4; 8,13.5,725
