Tick,Source Position,Source Probability,Average Source Power
0,5; 0,0.625,114.5
0,6; 1,0.375,114.5
1,4; 0,1,559
2,4; 0,0.666667,279.667
2,5; 1,0.333333,279.667
3,3; 0,0.166667,179
3,5; 1,0.833333,179
4,5; 0,1,84.6667
5,5; 0,0.666667,262.667
5,6; 2,0.333333,262.667
6,5; 2,1,294.5
7,4; 2,0.75,163
7,6; 3,0.25,163
8,4; 1,0.8,327.6
8,6; 3,0.2,327.6
9,3; 2,0.333333,202.667
9,5; 3,0.666667,202.667
10,2; 2,0.333333,258.333
10,3; 3,0.666667,258.333
11,3; 2,1,67.3333
13,6; 3,1,75.1429
14,4; 3,0.5,242.75
14,6; 5,0.5,242.75
15,5; 3,0.4,191.2
15,6; 4,0.6,191.2
16,3; 5,1,662
17,6; 4,1,39.6667
18,5; 5,1,81.8333
19,4; 6,0.8,218.4
19,5; 8,0.2,218.4
20,7; 4,1,204
21,5; 7,1,476
22,4; 6,1,3.16667
23,4; 7,1,329
24,3; 8,1,34.75
25,3; 7,0.5,755
25,4; 8,0.5,755
26,4; 6,0.75,292.5
26,5; 8,0.25,292.5
27,5; 7,0.75,250
27,7; 8,0.25,250
28,3; 8,0.25,229
28,4; 9,0.75,229
29,6; 9,1,49.3333
